CountryID,Name,MovieID,Population,Language,Cities
US,United States of America,16727,5000000.0,Unknown,Unknown
IE,Ireland,5413,5000000.0,Unknown,Unknown
GB,United Kingdom,5413,67000000.0,English,"London, Manchester, Birmingham"
JP,Japan,46916,126000000.0,Japanese,"Tokyo, Osaka, Kyoto"
US,United States of America,52679,5000000.0,Unknown,Unknown
IN,India,14434,1390000000.0,"Hindi, English","Mumbai, Delhi, Bangalore"
US,United States of America,14434,5000000.0,Unknown,Unknown
US,United States of America,47837,5000000.0,Unknown,Unknown
GB,United Kingdom,11494,67000000.0,English,"London, Manchester, Birmingham"
ES,Spain,19936,5000000.0,Unknown,Unknown
US,United States of America,9963,5000000.0,Unknown,Unknown
US,United States of America,14001,5000000.0,Unknown,Unknown
US,United States of America,2355,5000000.0,Unknown,Unknown
DE,Germany,16385,83000000.0,German,"Berlin, Munich, Hamburg"
US,United States of America,16385,5000000.0,Unknown,Unknown
US,United States of America,7485,5000000.0,Unknown,Unknown
US,United States of America,9793,5000000.0,Unknown,Unknown
US,United States of America,1273,5000000.0,Unknown,Unknown
RU,Russia,17388,5000000.0,Unknown,Unknown
AU,Australia,4657,25000000.0,English,"Sydney, Melbourne, Brisbane"
IT,Italy,42595,5000000.0,Unknown,Unknown
FR,France,19495,65000000.0,French,"Paris, Marseille, Lyon"
KZ,Kazakhstan,19495,5000000.0,Unknown,Unknown
US,United States of America,27263,5000000.0,Unknown,Unknown
FR,France,10051,65000000.0,French,"Paris, Marseille, Lyon"
NL,Netherlands,9075,5000000.0,Unknown,Unknown
DE,Germany,9075,83000000.0,German,"Berlin, Munich, Hamburg"
GB,United Kingdom,9075,67000000.0,English,"London, Manchester, Birmingham"
JP,Japan,20527,126000000.0,Japanese,"Tokyo, Osaka, Kyoto"
US,United States of America,8199,5000000.0,Unknown,Unknown
JP,Japan,37513,126000000.0,Japanese,"Tokyo, Osaka, Kyoto"
IR,Iran,43976,5000000.0,Unknown,Unknown
FR,France,43976,65000000.0,French,"Paris, Marseille, Lyon"
IR,Iran,43974,5000000.0,Unknown,Unknown
FR,France,43974,65000000.0,French,"Paris, Marseille, Lyon"
TJ,Tajikistan,43974,5000000.0,Unknown,Unknown
US,United States of America,83346,5000000.0,Unknown,Unknown
US,United States of America,30081,5000000.0,Unknown,Unknown
US,United States of America,17677,5000000.0,Unknown,Unknown
RO,Romania,56474,5000000.0,Unknown,Unknown
FR,France,56474,65000000.0,French,"Paris, Marseille, Lyon"
US,United States of America,42066,5000000.0,Unknown,Unknown
FR,France,11958,65000000.0,French,"Paris, Marseille, Lyon"
IN,India,192675,1390000000.0,"Hindi, English","Mumbai, Delhi, Bangalore"
DK,Denmark,5177,5000000.0,Unknown,Unknown
IS,Iceland,5177,5000000.0,Unknown,Unknown
HU,Hungary,20122,5000000.0,Unknown,Unknown
US,United States of America,33673,5000000.0,Unknown,Unknown
US,United States of America,297853,5000000.0,Unknown,Unknown
US,United States of America,18437,5000000.0,Unknown,Unknown
US,United States of America,38432,5000000.0,Unknown,Unknown
US,United States of America,8270,5000000.0,Unknown,Unknown
US,United States of America,9955,5000000.0,Unknown,Unknown
SE,Sweden,16201,5000000.0,Unknown,Unknown
NO,Norway,57241,5000000.0,Unknown,Unknown
US,United States of America,10172,5000000.0,Unknown,Unknown
US,United States of America,1683,5000000.0,Unknown,Unknown
